dia_setmana,hora,Grup_Vehicle,count
2,19,Vehicle Turisme,17086
2,19,Vehicles especials,12
2,19,Vianants,432
2,20,Bicicletes,487
2,20,Equips emergencia,11
2,20,Habitatge,3
2,20,Motocicleta,2328
2,20,Taxis,53
2,20,Transport Comercial,625
2,20,Transport públic,17
2,20,Vehicle Turisme,7325
2,20,Vehicles especials,5
2,20,Vianants,99
2,21,Bicicletes,225
2,21,Equips emergencia,10
2,21,Habitatge,1
2,21,Motocicleta,1450
2,21,Taxis,15
2,21,Transport Comercial,437
2,21,Transport públic,19
2,21,Vehicle Turisme,6243
2,21,Vehicles especials,2
2,21,Vianants,57
2,22,Bicicletes,62
2,22,Equips emergencia,9
2,22,Habitatge,1
2,22,Motocicleta,792
2,22,Taxis,11
2,22,Transport Comercial,330
2,22,Transport públic,14
2,22,Vehicle Turisme,5053
2,22,Vehicles especials,2
2,22,Vianants,29
2,23,Bicicletes,391
2,23,Equips emergencia,3
2,23,Habitatge,1
2,23,Motocicleta,1064
2,23,Taxis,17
2,23,Transport Comercial,311
2,23,Transport públic,14
2,23,Vehicle Turisme,6135
2,23,Vehicles especials,6
2,23,Vianants,43
3,00,Bicicletes,588
3,00,Equips emergencia,4
3,00,Motocicleta,1226
3,00,Taxis,29
3,00,Transport Comercial,338
3,00,Transport públic,12
3,00,Vehicle Turisme,6426
3,00,Vianants,67
3,01,Bicicletes,404
3,01,Equips emergencia,3
3,01,Motocicleta,997
3,01,Taxis,32
3,01,Transport Comercial,300
3,01,Transport públic,3
3,01,Vehicle Turisme,4865
3,01,Vehicles especials,2
3,01,Vianants,52
3,02,Bicicletes,210
3,02,Equips emergencia,5
3,02,Motocicleta,559
3,02,Taxis,15
3,02,Transport Comercial,181
3,02,Transport públic,10
3,02,Vehicle Turisme,2719
3,02,Vianants,43
3,03,Bicicletes,149
3,03,Equips emergencia,2
3,03,Habitatge,1
3,03,Motocicleta,426
3,03,Taxis,42
3,03,Transport Comercial,176
3,03,Transport públic,4
3,03,Vehicle Turisme,2126
3,03,Vianants,40
3,04,Bicicletes,179
3,04,Equips emergencia,5
3,04,Habitatge,2
3,04,Motocicleta,605
3,04,Taxis,23
3,04,Transport Comercial,234
3,04,Transport públic,6
3,04,Vehicle Turisme,2736
3,04,Vehicles especials,1
3,04,Vianants,84
3,05,Bicicletes,87
3,05,Equips emergencia,7
3,05,Habitatge,1
3,05,Motocicleta,557
3,05,Taxis,19
3,05,Transport Comercial,344
3,05,Transport públic,12
3,05,Vehicle Turisme,3212
3,05,Vianants,65
3,06,Bicicletes,15
3,06,Equips emergencia,6
3,06,Motocicleta,398
3,06,Taxis,4
3,06,Transport Comercial,285
3,06,Transport públic,26
3,06,Vehicle Turisme,1763
3,06,Vianants,57
3,07,Bicicletes,154
3,07,Equips emergencia,2
3,07,Habitatge,10
3,07,Motocicleta,1537
3,07,Taxis,12
3,07,Transport Comercial,783
3,07,Transport públic,38
3,07,Vehicle Turisme,4766
3,07,Vehicles especials,13
3,07,Vianants,521
3,08,Bicicletes,427
3,08,Equips emergencia,5
3,08,Habitatge,11
3,08,Motocicleta,4269
3,08,Taxis,68
3,08,Transport Comercial,3090
3,08,Transport públic,95
3,08,Vehicle Turisme,9788
3,08,Vehicles especials,24
3,08,Vianants,917
3,09,Bicicletes,421
3,09,Equips emergencia,9
3,09,Habitatge,12
3,09,Motocicleta,3397
3,09,Taxis,146
3,09,Transport Comercial,8910
3,09,Transport públic,159
3,09,Vehicle Turisme,20722
3,09,Vehicles especials,21
3,09,Vianants,1219
3,10,Bicicletes,258
3,10,Equips emergencia,10
3,10,Habitatge,9
3,10,Motocicleta,2499
3,10,Taxis,155
3,10,Transport Comercial,10135
3,10,Transport públic,183
3,10,Vehicle Turisme,24208
3,10,Vehicles especials,19
3,10,Vianants,1229
3,11,Bicicletes,285
3,11,Equips emergencia,13
3,11,Habitatge,17
3,11,Motocicleta,2262
3,11,Taxis,100
3,11,Transport Comercial,5482
3,11,Transport públic,183
3,11,Vehicle Turisme,16319
3,11,Vehicles especials,27
